case_id,dream_id,date,dream_text,state_of_mind,notes
C01,D0011,27/05/2022,An owner - a man allowed me to invest money a long time to his forest I saw some trees be cut down The cut spots were smeared with substance . I asked him about that. He said those trees cannot grow again. Thank you very much Duyen,Neutral,From PDF: An investment
C01,D0012,19/08/2022,"I forgot to wear a bra when I went somewhere. When I found that , I quickly tried to find something to cover.",Afraid,From PDF: A complex thought
C01,D0013,19/08/2022,I am standing on a small object floating on a large water,Afraid,From PDF: A complex thought
C01,D0014,26/08/2022,I dreamed of a case from the Harry Potter series. There was a man who tried to save a person but his younger sister died .,"Surprise, neutral",From PDF: Marriage
C01,D0015,26/08/2022,It happened in my home. There was an elderly man who could not talk . He chose a kind of medicine in a wardrobe . I took 3 perfect pills and 1 urgly pill . I asked him to take the urgly pill first to delete it.,"Surprise, neutral",From PDF: Marriage
C01,D0016,31/08/2022,"My friends and I had a party . After I got drunk , I had a short sleep I came back to the party and sat with my female friends in the middle of the table while the male friends sat at two sides of the table. My attitude was not friendly at that time I ate some dishes on the table. Then I saw myself at a large land. I went to a big road by bicycle and chose a direction. Firstly, I turned right on my intuition. There was something incorrect I checked the google map and discovered I should turn left . So I turned left and I saw a woman with two barriers and two spaces between them. She would like to collect a fee But I ignored her and continued my direction . I passed by a pagoda where it had a billboard selling a thing in porcelain. I guessed it should be broken to define a real porcelain thing.",Tired,From PDF: Lost
C01,D0017,31/08/2022,"I have had a 4-day holiday at my boyfriend's hometown. My boyfriend spent his time at some parties with his friends. He got drunk. After a party, he came home and found me. I saw my attitude was the same as my mother's when my father came home after a party. The attitude is an uncomfortable feeling and a little angry. I used to hate this attitude from my mother and also wished I would not repeat it.",Tired,From PDF: Lost
C01,D0018,07/03/2022,"Dear Pro. Anthony and Vandana, The first DJ is a reminder for me on this spiritual way. Thank you for your guiding and sharing . I would like to share my dream interpretation this week. My mother and I came to check-in at a luxury beautiful hotel . Firstly, we were in line with a crowd attending an event of Pros. Kaya and Pros. Christian to take hotel slippers Everyone I met were easily angry . I saw two pairs of pink slippers in the basket; I took one slipper and another from a person. I suddenly recognized and apologized him but he was so angry to accept . He took a slipper without retaking. Some girls were noisy so I lost my attention. I needed to take a paper for check-in. My mother and I went along the corridor to our room, we could see all beds in all rooms there. Their walls were like a door to go through. A woman staff stood in the middle of the corridor to test and she asked me. I answered rightly so she let my mother and I go through. Two old friends helped us bring our luggage to our room I said something made my mother angry. She moved to the hotel lobby. The friends and I asked the reason but she kept silent and found something until my aunt appeared. She was angry and left. I am practicing to recognize myself three positive things and one improved thing every day. It is not easy for me. It also makes me less hard to others, now I still rarely appreciate or give compliment to other people who do the good things. It is a journey and I continue to do it. Wish you have a nice day!!! Duyen","Coldness, Angry",From PDF: A Luxury Hotel
C01,D0019,15/09/2022,"I would like to go to the toilet knew that I could find that in my grandmother's room . I went to that room . I saw the first grandmother who was eating at a table near the door. And the second grandmother was taking the toilet beside the room . I waited for the second grandmother. After going to the toilet, the second grandmother came to the room and asked the first grandmother to clean her . The first grandmother was trying to complete her meal to do it. I went to the toilet and it has not flushed . I pushed the button two or three times continuously. Suddenly my younger brother and an animal sat on it. They made the toilet clogged then the whirlpool was very strong then splashed out. When I ran out , I remembered there was something near it.",Surprise,From PDF: Going to the toilet
C01,D0020,15/09/2022,"I saw my male colleague He talked to me to focus the coffee project by whispering . After that, I woke up at night.",Surprise,From PDF: Going to the toilet
C01,D0021,22/09/2022,"I drove a motorbike with my female younger cousin to visit a beach in my hometown . I couldn't see clearly but I still tried to move. My cousin and I talked a lot about her trip with her parents before they came to my home. Then, we met two of my male friends - Ngoc and Hoang They also drove a motorbike. We greeted each other and talked, then we continued our way. I thought too much, my sharing and my action is not enough so there is a discrepancy My cousin and I came to a place where her sister slept in an object on the beach. We woke her up.",Neutral,From PDF: Sea
C01,D0022,30/09/2022,"Dear Prof Anthony and Sis Vandana I would like to share my dream. I am asking the Up Above ""is my boyfriend the right person for me in this life?"". Is it right to ask too much one question? I use a masculine wooden ruler fly with my female friend . It was like a broomstick We went through a forest to somewhere. THEN I lost her so I came back to find my friend. The dream shows me the uncomfortable part I am trying to avoid doing that. It causes myself the inside too much thought, too much emotion. As I shared I thought negatively too much, I used to force myself to do something instead of analyzing the meaning of my thoughts. It was a wrong way because it is still there without fixing. In meditation, I can focus on one thought and find the memories causing that to fix. I have not met my friend in a long time. She used to be one of my best friends. We spent our time in our childhood. Once, she and another friend misunderstood each other. I knew the reason so I explained the story to the friend to help them fix their relationship. My friend knew that so she thought I was a talkative, unreliable friend and she did not want to meet me anymore. Although I apologized to her, she did not accept. We didn't meet anymore from that. My parents have just called me and asked me an option for my relationship. My family want us to organize a pre-wedding party at my home on the day a feng shui master told for our couple. I have not received the answer from the Up Above so I do not follow that fully. I just let my boyfriend know that. I do not dare to share I am waiting for the answer from the Up Above. I only delay and delay. I saw myself putting my attention to my boyfriend too much. I always put all of my priorities for him. I schedule my time following his schedule. It is not right. I like to stand by him. What should I do to fix it? Because it is unbalanced. Thank you Duyen",Neutral,From PDF: Advance by a stick
C01,D0023,13/10/2022,"I shared with my mother many kinds of sweet soups . Besides, last night, I also caught the card of Angel Chavakhiah and it reminded me to continue working with it.",Neutral,From PDF: My family
C01,D0024,21/10/2022,I was on the way to my grandfather's house . Then I drove around an area two times . I put a male stranger But I avoided him. I moved to my female friend's house .,"Stressful, tired",From PDF: A step
C01,D0025,11/11/2022,I and my relatives sat and had a party at my grandfather's house together . I sat next to my grandfather. One relative constantly speaks provokingly to me . I felt angry. I throw a bowl four times to remind him. At the end of the party my grandfather told me a story from yesterday . My relatives asked a feng shui master about their good day but no one asked for me . He asked for me . My good day is December 14th according to the Lunar Calendar . Then he left. I stayed to clean. I did while I cried. I felt sad because no one took care of me. My cousin asked for help from me. But I rejected him. I cried in reality after this dream. I was reminded Evil is education. The negative dream shows the thing I should work.,"alone, sad",From PDF: My grandfather
C01,D0026,17/03/2022,I woke up at my cousin's house Her parents went aboard . I got out of the house and met her. I invited her to discover the lake near her house. The lake spread in a large area with many large stones . My cousin had a little bit postponed but she still wanted to go. I came back to change from my dress to my pants for the trip. was dirt road houses after the stones . We stopped at a house having vines the way. I fell unconscious and woke up tomorrow morning but my cousin left me at that house and come back. The owner took me to the beginning point by horse,"Surprise, neutral",From PDF: Discovering a lake
C01,D0027,17/03/2022,"The next case, I hold my baby in line to meet a man doctor . In the line, I saw my boyfriend , some women and some children. My boyfriend was like a stranger. I loved my fragile child. My mother and my cousin appeared. There was an accident, a man wearing a white shirt without pants somersaulted. He wasn't hurt but his face was a little silly. Many people moved to watch but I came back to take care of my child. The doctor reminded me to apply for my medical record I gave my child to my mother before he took my blood from my hand. My cousin waited too long so she gave a reason for changing oil for our motorbike to let us come home but the doctor didn't and he gave her some money for changing oil near the place. Many memories I accumulated effect to my definition. I have a trouble to define it is plus or minus because I am scared to be criticized of course I criticize others too much","Surprise, neutral",From PDF: Discovering a lake
C01,D0028,24/11/2022,"Dear Prof Anthony and Sis Vandana, I would like to share with you one of the dreams from Up Above when I keep asking if my boyfriend is the right person. I came to a relative's house (I just felt that) . The house had a bathroom for a woman in another house A man and I were in front of our house. He confessed his love to me. I was happy and confused because I also had feelings for him and I was in a relationship with my present boyfriend. I didn't say anything to him. I came into the house. I met 3 female friends going to play badminton . Then the man and his male friend came into the house to take a shower . He tries to show his erect penis to me before going into the bathroom. At that moment, my brother was also there. I went out of the house to move to the bathroom for women. I didn't remember exactly where the bathroom was. I went into the wrong house where I saw a female was sleeping with a very cold atmosphere from the referee She woke up and saw me. I apologized to her . She presented the cute things which she was selling I promised to buy them later. Then I went down her staircase. I realized I was lost, I forgot the relative's house. Thank you for your guide. I feel more touched when I have learned more about the dream. The message from Up Above is so profound, the root cause of my matter. Duyen",Worried,From PDF: An answer from the Up Above
C01,D0029,02/12/2022,My boyfriend and I were in my room in my house . He did not wear clothes . We went out of the room to go somewhere. My grandfather and my father saw us. He came back to my room. I talked with them about my boyfriend. They advised me not to do that.,Scared,From PDF: Try to do the best
C01,D0030,14/02/2023,"I went to my relative's house on my boyfriend motorbike . I drove while my friends rode a bicycle. The road was terrible. I have not come to a specific point. I'm coming back. On my way, there was a point - a low wall . My motorbike could not cross and I should find another road. Two old women wanted me to put my motorbike next to the wall to let them climb over it, but I rejected it. They could climb on its ledges. I continue my way. Suddenly I found that the license plate was lost. I must go on the previous track. Then I saw the place I crossed but now it was closed to motorbikes. I stopped it. One of the two women kicked the ball to my face . She didn't say sorry. I was angry and shouted at her.","tired, angry, uncomfortable",From PDF: Finding the License Plate
C01,D0031,23/02/2023,"I, my boyfriend, her younger sister, his cousin-sister, and his cousin-sister's daughter were in a strange place. The sister, the cousin, the daughter, and I went along a lake. I made the daughter fall into the lake. The baby did not know how to swim. We didn't know how to swim. So we went near the lake and blared to find help. No one appeared. The daughter was taken near the bank. The cousin took her up. The sister said it was my fault. My boyfriend came to the daughter. He didn't notice me. I felt guilty and angry when I left.","Surprise, Angry, Afraid",From PDF: A falling
C01,D0032,03/03/2023,After going from the toilet I saw my rent room was broken on the roof I quickly woke up my roommate . She was safe. We felt angry because the owner did not say to us about this in the previous. My owner appears. She wanted to build a new appearance to earn more money because she kept the old version too long. Thank you Duyen,"Surprise, Angry",From PDF: A broken room
C01,D0033,10/03/2023,"I met a person who is a master in I Ching. He gave me some primary information about my personality, strengths, and weaknesses depending on my birthday. He applied not only the East's but also the West's knowledge. The most important thing I should do first is to find my core values. He guided me on some ways to find that like reading I Ching or Buddhist books. And I thought that it is developing qualities from UCM last year. These qualities are my core values and they help me make decisions. Do I understand rightly?","Angry, Disappointed",From PDF: I Ching
C01,D0034,10/03/2023,"I met the person at a place. When he shared a part of myself, he called my female friend - my high schoolmate to join our meeting. From that point, he taught her his job and ignored me. There was a friend which went around the place. Then he went out. We moved to another room. He came back with low energy so he could not share anything with me.","Angry, Disappointed",From PDF: I Ching
C01,D0035,17/03/2023,"I was in a school . The school was too strict Some friends and I investigated the death of a beautiful girl our school. I was chased when I tried to solve it. my class had almost started but I had not brushed my teeth . I moved out of the classroom to go to the toilet. I moved the movable barrier to get out. But the time was over, so I returned to the class without brushing my teeth. I received a message to move to another better class I have not solved my problem, I have a superior thought, so I moved to another matter . My female teacher checked the message before letting me out. I went to the new class. In the front of the class, I saw some students who were punished. The male teacher did not want to receive me because the class was full. But I was still there.",Afraid,From PDF: A school
C01,D0036,17/03/2023,"I was being chased by something. I wanted to solve it, so I stopped and fought against it. My way was not right, and I died. How can I solve a case in a dream? We will have many cases and many solutions. No patterns for something, right?",Afraid,From PDF: A school
C01,D0037,23/03/2023,"I traveled with my boyfriend's company . We lived in an old boarding house. The first scene, my boyfriend and I brought the bicycle to the house. There was a helpful woman who kept it for us. But I was worried it might be lost and I would like to go somewhere by it so I came back to take it. She said it was locked in a room. A female cleaner brought the key. A couple in my boyfriend's team invited me to go out. I got a stomachache, so I went back to a toilet. His female colleagues lived full a room so I should move to another room. When I had just sat on the toilet, my boyfriend opened the small glass door and talked to me. I felt shy so I requested him close it. Then other people came to my room. I was so shy and I wanted them to leave. But one man said his bathroom was damaged .","Angry, Disappointed",From PDF: My Boyfriend s Company
C01,D0038,21/03/2022,"After school, I went to the library where Dr. Glassman is a bookkeeper. I was looking for my name in a newspaper . I also felt that I almost found that. But I have not seen it. Some friends had the same purpose as me. Then a person, Hoang , found the newspaper having his name. We finding continued over lunch. Dr. Glassman went to take the lunch and reminded us of having lunch. I still paid attention to finding it in anger because I nearly had it. I would do it quickly to come home and my mother would not be angry with me. After looking for a long time, I felt hungry so I stopped to eat. I came out and met Dr. Glassman came back, I also saw our school was preparing for the final meeting. I saw many teachers were walking. One of them was Nhan , a homeroom teacher. He was coming back to the room for homeroom teachers. I remembered I have not completed the exercises from Dr. Glassman. He gave them to me at the end of this morning. I continued looking for the newspaper. I brought high newspapers on a window to check but nothing. I realized the exercises are more important than looking. Thank you for being here Duyen","Impatient, tired",From PDF: The Newspaper having my name
C01,D0039,28/03/2022,"My father and I went to a cinema by motorbike. We stopped at the parking lot which was opposite the cinema and at the foot-slope. There were two female street vendors offering us food and drink too much. Then we agreed to buy and we ate there. My father suddenly wanted to gamble with the lotteries of the vendor. He lost. When everything becomes difficult, I will just do a new thing with a hope of luck and lack of going deeply to clean the negative memories. After eating, my father and I left the waste for the vendor We also received a reminder of cleaning from a female guard standing far from us but we still continued. The vendor did not clean and left. My mother and I went to a cinema by motorbike. Inside of me, I continue comparing myself with others. An old girlfriend appeared and went with us. My ex-boyfriend wanted to meet me but I rejected and he followed us . My mother and I left our motorbike at a parking lot and walked to the cinema. The cinema was crowded. There were many people walking too. The old girlfriend told me a story about my ex-boyfriend. When I was taken to a country, he betrayed this country to take me back . My mother and I saw a crowd. I saw my boyfriend fixing his motorbike with my brother. The motorbike has a chain trouble. He tried to watch the movie with us. Two girl strangers told me his other problem - crossing the red light and getting punished. I was angry because he didn't tell me. Before bringing his motorbike to be fixed, he and I came to the cinema to buy a ticket for him. I did not want him to watch because I did not want him to see my ex-boyfriend. At the main door, there was a stranger who gave us a ticket - 30 thousand VND. I realized my ex-boyfriend was behind the scene. I rejected buying My boyfriend and I came to the ticket office. There were 2 women who sold the tickets for a couple",Afraid,From PDF: Visiting a cinema
C01,D0040,06/04/2022,"My boyfriend and I came into a forest to challenge our abilities to join the nation . We went to a waterfall with a guide to test the ability to use bows . My boyfriend went somewhere so the guide and I waited at a big stone . Then my boyfriend and I lived in an old, abandoned abandoned building with some people. When a group of people came to our place to provoke, the men moved to another building to fight the group. I had the intention to fight but the men did not accept because I was a woman. A man from the group was lost, he loved a girl from our place so he decided to live in our place. I took a walk around a lake with a girl . Her boyfriend came and said sorry to her because he could not keep his promise. She was angry and came back to her room. Then the men fighting won.They brought back the spoilers I came back to my room was avoiding a person who was leading a bear so I came into a room which was near my room and was raising a lion cub . I was started. I threatened the lion so it wouldn't bite me. A girl and I ran into a forest to hide and then we went baking. Thank you for your reading Duyen","Interesting, Afraid",From PDF: In a forest
C01,D0041,14/04/2022,"I was normal on the way from my company to my rented room . The police caught me so I found another way. . I felt hesitant when I drove into a strange road I saw my brother and some people crossing me. I followed them and I drove to the end of that road. It was a government building. I drove up some floors by stairs but I could not find the way out. I had the intention to fly across a wall. Finally, I ran to the back of the building to get out. The owner of this building caught and asked me. I was very annoyed. I was wrong but still stiff, uncooperative.","impatient, annoyed, stiff, uncooperative",From PDF: Coming back to my rent room
C01,D0042,18/04/2022,"Three families had an appointment at my grandfather's house Three fathers had a good relationship. They chatted and had some games together. This was the last time for all of them. One of three families only had a father, 2 daughters and a cat . The father would go somewhere, one daughter would buy rice with the mother for donation, one daughter would go somewhere then come back to meet the mother. .. . I was the final person leaving When I had just left in the afternoon, I saw the cat in the room. I push the cat coming out because this room would close too long, the cat would die when it did not have food The cat came out of this room but it did not come out of the house . But I saw a way to get out for the cat so I let it there. It clung to me and didn't want to break up. I met a friend who came and chatted with him a little. Then I came to another part of this house and met my cousin who I really liked.I share the appointment with him and leave. I do not realize the meaning of the final scene. The friend I see is a stranger. He is a man. Is it a part from my unconscious related to my action, a strange action? The cousin is a man too, but I do not remember who he is, I just know I really like him. I come back to my old behavior? Waiting for your sharing Thank you Duyen",Neutral,From PDF: A goodbye
C01,D0043,26/04/2022,I came to a food store which had a large sitting area with 2 men and 1 woman . We were choosing our food. I was watching fish dishes and I chose a fried fish that was too dried and crispy. Others were still choosing and giving me money to make payment. We saw our enemy We ran away. I hid below a table . The enemy is a woman wearing black clothes . She caught me. . I left money on the table to pay for our food. I was released and returned to the base. I talked with my boss then I came back to my place. ...I met my boyfriend and he hugged me and said we were alone.,Afraid,From PDF: Against the Black Organization
